platekey,population,row,column 
1,1.1,B,10
1,1.1,D,4
1,1.2,E,5
1,1.2,G,2
1,1.3,B,5
1,1.3,D,9
1,1.4,D,3
1,1.4,F,7
1,1.5,G,4
1,1.5,B,7
1,1.6,D,2
1,1.6,E,8
1,1.7,B,9
1,1.7,G,3
1,1.8,B,2
1,1.8,F,2
1,2.1,C,5
1,2.1,D,10
1,2.2,D,7
1,2.2,F,9
1,2.3,C,2
1,2.3,C,8
1,2.4,C,9
1,2.4,F,4
1,2.5,E,2
1,2.5,E,9
1,2.6,B,4
1,2.6,F,6
1,2.7,B,6
1,2.7,E,7
1,2.8,B,8
1,2.8,D,6
1,3.1,C,3
1,3.1,F,10
1,3.2,F,3
1,3.2,C,7
1,3.3,D,5
1,3.3,E,10
1,3.4,C,10
1,3.4,E,4
1,3.5,D,8
1,3.5,F,5
1,3.6,B,3
1,3.6,E,6
1,3.7,C,6
1,3.7,E,3
1,3.8,C,4
1,3.8,F,8
2,1.1,C,4
2,1.1,F,9
2,1.2,B,2
2,1.2,E,8
2,1.3,C,10
2,1.3,D,6
2,1.4,D,5
2,1.4,B,7
2,1.5,B,3
2,1.5,E,6
2,1.6,D,10
2,1.6,F,6
2,1.7,E,4
2,1.7,B,6
2,1.8,C,8
2,1.8,F,8
2,2.1,C,5
2,2.1,F,2
2,2.2,D,4
2,2.2,C,7
2,2.3,D,7
2,2.3,G,3
2,2.4,F,4
2,2.4,E,9
2,2.5,C,3
2,2.5,E,10
2,2.6,B,9
2,2.6,F,10
2,2.7,E,3
2,2.7,B,8
2,2.8,B,4
2,2.8,D,9
2,3.1,D,2
2,3.1,E,7
2,3.2,F,3
2,3.2,F,7
2,3.3,F,5
2,3.3,C,9
2,3.4,B,5
2,3.4,G,2
2,3.5,C,6
2,3.5,B,10
2,3.6,D,3
2,3.6,E,5
2,3.7,C,2
2,3.7,D,8
2,3.8,E,2
2,3.8,G,4
